dataset,machine,feature,baseline_median_ms,feature_median_ms,speedup,improvement_pct
3D Dense Clusters (1K points),Linux,All Features,4549.55000000447,3374.0499999970198,1.3483943628602093,34.83943628602093
3D Dense Clusters (1K points),Linux,Distance,4549.55000000447,4554.8499999940395,0.9988364051528423,-0.11635948471576674
3D Dense Clusters (1K points),Linux,Tree,4549.55000000447,4480.95000000298,1.0153092536184167,1.530925361841673
3D Dense Clusters (1K points),Linux,Matrix,4549.55000000447,4446.39999999851,1.0231985426425863,2.319854264258625
3D Dense Clusters (1K points),Linux,NN Descent,4549.55000000447,4555.39999999851,0.9987158098094479,-0.1284190190552148
3D Dense Clusters (1K points),Linux,Optimizer,4549.55000000447,3457.4000000059605,1.3158876612473613,31.588766124736132
"Iris Dataset (150 points, 4D)",Linux,Distance,2350.14999999851,2373.7999999970198,0.9900370713629878,-0.9962928637012203
"Iris Dataset (150 points, 4D)",Linux,Tree,2350.14999999851,2352.89999999851,0.9988312295465164,-0.11687704534836252
"Iris Dataset (150 points, 4D)",Linux,Matrix,2350.14999999851,2336.9499999955297,1.0056483878572522,0.5648387857252191
"Iris Dataset (150 points, 4D)",Linux,NN Descent,2350.14999999851,2388.25,0.9840468962623301,-1.5953103737669894
"MNIST-like (1K points, 784D)",Linux,All Features,4517.80000000447,3817.7000000029802,1.1833826649555867,18.338266495558674
"MNIST-like (1K points, 784D)",Linux,Distance,4517.80000000447,4570.85000000149,0.9883938435964859,-1.1606156403514145
"MNIST-like (1K points, 784D)",Linux,Tree,4517.80000000447,4360.14999999851,1.0361570129481816,3.6157012948181633
"MNIST-like (1K points, 784D)",Linux,Matrix,4517.80000000447,4447.44999999553,1.0158180530436567,1.5818053043656688
"MNIST-like (1K points, 784D)",Linux,NN Descent,4517.80000000447,4639.54999999702,0.973758230864496,-2.6241769135504023
"MNIST-like (1K points, 784D)",Linux,Optimizer,4517.80000000447,3845.4499999880795,1.1748429962731215,17.48429962731215
Medium Clustered (600 points),Linux,All Features,3676.10000000149,2033.0,1.8082144613878457,80.82144613878457
Medium Clustered (600 points),Linux,Distance,3676.10000000149,3645.64999999851,1.008352420008227,0.8352420008227002
Medium Clustered (600 points),Linux,Tree,3676.10000000149,3672.34999999404,1.0010211445007846,0.10211445007846098
Medium Clustered (600 points),Linux,Matrix,3676.10000000149,3608.4500000029802,1.0187476617379911,1.874766173799114
Medium Clustered (600 points),Linux,NN Descent,3676.10000000149,3623.7499999925494,1.0144463608165708,1.4446360816570802
Medium Clustered (600 points),Linux,Optimizer,3676.10000000149,2263.2000000029802,1.6242930364071444,62.42930364071444
Small Random (80 points),Linux,Distance,3150.0,3327.1499999910598,0.94675623281441,-5.324376718558998
Small Random (80 points),Linux,Tree,3150.0,2994.0500000044703,1.0520866384981202,5.208663849812023
Small Random (80 points),Linux,Matrix,3150.0,3105.45000000298,1.0143457469922161,1.4345746992216135
Small Random (80 points),Linux,NN Descent,3150.0,3346.0,0.9414225941422594,-5.857740585774063
"Swiss Roll (600 points, 3D manifold)",Linux,All Features,2959.8499999940395,1568.1000000014901,1.8875390600033333,88.75390600033333
"Swiss Roll (600 points, 3D manifold)",Linux,Distance,2959.8499999940395,2955.5,1.0014718321752798,0.1471832175279797
"Swiss Roll (600 points, 3D manifold)",Linux,Tree,2959.8499999940395,2970.0499999970198,0.9965657143809059,-0.34342856190940907
"Swiss Roll (600 points, 3D manifold)",Linux,Matrix,2959.8499999940395,2946.7499999925494,1.0044455756346902,0.44455756346901687
"Swiss Roll (600 points, 3D manifold)",Linux,NN Descent,2959.8499999940395,2958.85000000149,1.000337969140899,0.03379691408988972
"Swiss Roll (600 points, 3D manifold)",Linux,Optimizer,2959.8499999940395,1601.4499999955297,1.8482312903945186,84.82312903945186
